학년,학기,과목구분,교과목명,교과목코드,학점
1학년,1학기,전선,C프로그래밍및실습,CIS9017,3
1학년,1학기,교필,수학1,CLT0082,3
1학년,1학기,교필,경제학개론,CLT0763,3
1학년,1학기,교필,공학을위한컴퓨터과학적사고,CLT0868,3
1학년,1학기,교필,과학기술글쓰기,CLT0894,3
1학년,1학기,전선,공학설계입문,ENV1005,3
1학년,2학기,교필,기술과창업,CLT0706,3
1학년,2학기,교필,기초통계학,CLT0933,3
1학년,2학기,전선,논리회로,ECE2010,3
1학년,2학기,전선,공학수학1,ENG1003,3
1학년,2학기,전선,이산수학,MTH2010,3
1학년,2학기,전선,파이썬프로그래밍및실습,SAI0030,3
2학년,1학기,전선,컴퓨터구조,CIS2004,3
2학년,1학기,전선,리눅스시스템,CIS2010,3
2학년,1학기,전필,자료구조,CIS3001,3
2학년,1학기,전선,선형대수학,ECE2011,3
2학년,1학기,전선,확률및통계,ENV1001,3
2학년,1학기,전선,정보보안개론,SAI0031,3
2학년,1학기,전선,웹프로그래밍및실습,STT3015,3
2학년,1학기,전필,JAVA프로그래밍및실습,STT3019,3
2학년,2학기,전선,운영체제,CIS2001,3
2학년,2학기,전필,인공지능,CIS3003,3
2학년,2학기,전필,알고리즘,CIS3016,3
2학년,2학기,전선,시스템프로그래밍,ECE3043,3
2학년,2학기,전선,소프트웨어시스템설계,SAI0001,3
2학년,2학기,전선,오픈소스소프트웨어,SAI0003,3
2학년,2학기,전선,네트워크개론,SAI0032,3
2학년,2학기,전선,C++프로그래밍및실습,STT2008,3
