구분,주요내용,비고
학위과정,석사,
학위과정,박사,
학위과정,석·박사통합,
의무등록학기(수업연한),석사 : 2년 (4학기),※ 통합과정 : 최대 1년 단축
의무등록학기(수업연한),박사 : 2년 (4학기),
의무등록학기(수업연한),석·박사통합 : 4년 (8학기),
수료학점,석사 : 24학점,석사 : 전공 12학점 이상
수료학점,박사 : 36학점,박사 : 전공 18학점 이상
수료학점,석·박사통합 : 51학점,석·박사통합 : 전공 30학점 이상
트랙 이수,각 트랙별 지정된 교과목 중 2과목 이상 필수이수,
필수선수과목 이수,논문작성법 및 연구윤리1 [COV7001] 교과목 이수,※ 신·편입생은 1기(권장)에 필수선수과목으로 이수해야 함
필수선수과목 이수,,"※ 수료학점에는 포함되지 않으나, 교육과정 수료와 학위수여를 위해 반드시 이수"
과정별 교육과정 수료조건,수업연한 (의무학기등록) 등록,※ 공통필수 교과목 이수 포함
과정별 교육과정 수료조건,수료학점 취득,
과정별 교육과정 수료조건,성적평점평균 3.0 이상,
논문제출 자격시험,외국어시험 합격 (혹은 면제),※ 개인별 신청 후 학과에서 합격처리
논문제출 자격시험,전공시험 합격,※ 시험 신청기간은 학기 초에 예정
안전교육 이수,입학 첫 학기부터 매학기 1회씩 이수,※ 전공시험 및 본심 응시자격기준
안전교육 이수,"(박사,석·박사통합 과정 연구등록학기 포함)",※ 학기별 성적공시 열람자격
학위논문 제출자격(본심),① 수료학점 및 의무등록학기 충족,※ 석사과정은 예심 면제
학위논문 제출자격(본심),② 논문작성법 및 연구윤리1 교과목 이수,※ 학위논문 게재 인정기준 참조
학위논문 제출자격(본심),    (선수과목),※신·편입생은 '논문작성법 및 연구윤리1' 교과목 (온라인)을 이수해야 논문 본심 신청 가능
학위논문 제출자격(본심),③ 안전교육 이수 (매 학기 이수),
학위논문 제출자격(본심),    (안전교육 이수확인서 제출),
학위논문 제출자격(본심),④ 논문제출자격시험 합격,
학위논문 제출자격(본심),       - 전공  / 외국어 ,
학위논문 제출자격(본심),⑤ 학위논문 예비심사 (예심) 합격,
학위논문 제출자격(본심),⑥ 학회 발표 또는 학술지 논문 게재 조건 충족,
학위명,"공학석사, 공학박사",
